nome,ida,diff_fase,ponto_virada_encoded,anos_pm,bolsista_encoded,ipv,corraca,ponto_virada,ian,pedra,pedra_encoded,iaa,ips,ieg,ipp,idade,sexo_encoded,fase,inde,sexo,na_fase,ano,cg,cf,ct
ALUNO-72,8.833333333333332,-1.0,0,0.0,0,8.083335,R,Não,5.0,Ametista,3,7.50002,8.125,8.602540834845735,5.625,9.0,1.0,0,7.728843833635814,F,0,2022,227.0,62.0,5.0
ALUNO-73,6.5,-2.0,0,0.0,0,6.2916575,R,Não,5.0,Ágata,2,8.33334,7.5,6.992521367521367,6.71875,16.0,1.0,4,6.712044773504273,F,0,2022,586.0,54.0,13.0
ALUNO-74,6.111111111111112,-1.0,0,0.0,0,7.4166675,R,Não,5.0,Ágata,2,7.91667,6.875,6.25,7.5,15.0,1.0,4,6.684722722222222,F,0,2022,593.0,55.0,10.0
ALUNO-75,9.0,1.0,1,1.0,1,9.75001,R,Sim,10.0,Topázio,4,10.00002,10.0,10.0,9.375,11.0,1.0,3,9.687504,F,0,2020,1.0,1.0,1.0
ALUNO-75,8.5,1.0,1,2.0,1,9.7,R,Sim,10.0,Topázio,4,10.0,7.5,9.2,8.8,12.0,1.0,4,9.108,F,0,2021,1.0,1.0,1.0
ALUNO-75,8.5,2.0,1,3.0,1,9.75001,R,Sim,10.0,Topázio,4,10.00002,9.375,9.660714285714286,9.21875,13.0,1.0,5,9.441521857142858,F,0,2022,1.0,1.0,1.0
ALUNO-76,10.0,0.0,0,0.0,0,6.58333,B,Não,10.0,Topázio,4,8.91668,10.0,10.0,7.5,7.0,1.0,0,8.958334,F,1,2020,61.0,12.0,1.0
ALUNO-76,7.6,1.0,1,1.0,0,9.2,B,Sim,10.0,Topázio,4,10.0,7.5,10.0,7.5,8.0,1.0,1,8.869,F,0,2021,61.0,12.0,1.0
ALUNO-76,7.166666666666666,0.0,0,2.0,0,8.27778,B,Não,10.0,Topázio,4,10.00002,7.5,9.419753086419751,5.833333333333334,9.0,1.0,1,8.306175283950617,F,1,2022,61.0,12.0,1.0
ALUNO-77,6.4,-1.0,0,0.0,0,8.1,B,Não,5.0,Ametista,3,9.5,7.5,10.0,7.5,9.0,1.0,0,7.854,F,0,2021,169.0,46.0,1.0
ALUNO-77,8.333333333333332,-2.0,0,1.0,0,8.25,B,Não,5.0,Ametista,3,10.00002,8.75,8.237472766884531,5.625,11.0,1.0,0,7.901663220043574,F,0,2022,169.0,46.0,1.0
ALUNO-78,5.5,-1.0,0,3.0,0,7.666665,R,Não,5.0,Ametista,3,9.50002,7.5,9.0,7.1875,10.0,1.0,1,7.352085,F,0,2020,271.0,70.0,8.0
ALUNO-78,2.6,-1.0,0,4.0,0,5.6,R,Não,5.0,Ágata,2,8.9,7.5,9.2,7.3,11.0,1.0,1,6.339,F,0,2021,271.0,70.0,8.0
ALUNO-78,7.666666666666666,-2.0,0,5.0,0,7.833336666666667,R,Não,5.0,Ametista,3,6.91668,7.5,9.480259870064968,6.666666666666666,12.0,1.0,1,7.604387307346327,F,0,2022,271.0,70.0,8.0
ALUNO-79,3.666666666666667,0.0,0,0.0,0,7.20833,R,Não,10.0,Ametista,3,9.58335,7.5,7.463924963924963,7.34375,13.0,0.0,3,7.110494326118326,M,1,2022,452.0,55.0,9.0
ALUNO-80,0.0,0.0,0,1.0,0,7.444443333333333,B,Não,10.0,Ágata,2,6.91668,7.5,9.2,7.291666666666667,10.0,0.0,2,6.499723333333334,M,1,2020,633.0,110.0,9.0
ALUNO-80,4.25,-1.0,0,0.0,0,7.5,B,Não,5.0,Ágata,2,6.83334,5.625,9.296296296296296,6.25,12.0,0.0,2,6.580093259259259,M,0,2022,633.0,110.0,9.0
ALUNO-81,6.0,-1.0,1,1.0,0,9.11112,A,Sim,5.0,Ametista,3,5.41667,7.5,8.8,8.125,15.0,1.0,4,7.386391000000001,F,0,2020,327.0,10.0,10.0
ALUNO-81,6.5,-1.0,0,2.0,1,7.7,A,Não,5.0,Ágata,2,6.3,2.5,5.8,8.1,16.0,1.0,5,6.188,F,0,2021,327.0,10.0,10.0
ALUNO-81,6.655555555555555,-1.0,1,3.0,1,8.833336666666666,A,Sim,5.0,Ametista,3,8.33334,8.125,7.402950310559007,7.5,17.0,1.0,6,7.474202506556246,F,0,2022,327.0,10.0,10.0
ALUNO-83,5.333333333333333,0.0,1,4.0,1,9.166676666666666,B,Sim,10.0,Ametista,3,9.16668,5.625,9.4,8.958333333333332,14.0,1.0,4,8.155003333333333,F,1,2020,429.0,27.0,3.0
ALUNO-83,3.0,0.0,0,5.0,1,6.7,B,Não,10.0,Ágata,2,6.7,3.8,6.4,7.3,15.0,1.0,5,5.987,F,1,2021,429.0,27.0,3.0
ALUNO-83,6.8,-1.0,0,6.0,1,7.750005,B,Não,5.0,Ametista,3,7.91667,7.5,7.819047619047619,6.875,16.0,1.0,5,7.202977523809524,F,0,2022,429.0,27.0,3.0
ALUNO-84,8.5,0.0,0,0.0,0,6.999995,B,Não,10.0,Topázio,4,9.000020000000001,10.0,10.0,7.5,8.0,1.0,0,8.750001000000001,F,1,2020,309.0,81.0,6.0
ALUNO-84,6.8,0.0,0,1.0,0,8.3,B,Não,10.0,Ametista,3,3.5,7.5,10.0,7.5,9.0,1.0,1,7.867,F,1,2021,309.0,81.0,6.0
ALUNO-84,6.25,-1.0,1,1.0,0,8.444446666666666,B,Sim,5.0,Ametista,3,9.000020000000001,7.5,8.838383838383837,6.458333333333334,10.0,1.0,1,7.502401434343434,F,0,2022,309.0,81.0,6.0
ALUNO-85,10.0,-1.0,0,1.0,0,6.66666,B,Não,5.0,Ágata,2,9.50002,2.5,9.9,2.5,9.0,0.0,0,7.263334,M,0,2020,218.0,56.0,1.0
ALUNO-85,6.9,-2.0,0,2.0,0,7.0,B,Não,5.0,Ágata,2,9.5,6.3,6.7,4.7,10.0,0.0,0,6.652,M,0,2021,218.0,56.0,1.0
ALUNO-85,7.583333333333333,-1.0,1,3.0,0,8.833335,B,Sim,5.0,Ametista,3,9.50002,5.0,9.743589743589745,5.625,11.0,0.0,1,7.744553615384616,M,0,2022,218.0,56.0,1.0
ALUNO-87,6.666666666666667,0.0,1,4.0,1,8.722226666666666,B,Sim,10.0,Ametista,3,8.33334,5.625,9.2,8.749999999999998,14.0,1.0,4,8.188612666666666,F,1,2020,608.0,36.0,8.0
ALUNO-87,7.8,0.0,0,5.0,1,7.7,B,Não,10.0,Ametista,3,7.9,7.5,7.8,8.1,15.0,1.0,5,8.004,F,1,2021,608.0,36.0,8.0
ALUNO-87,6.566666666666667,-1.0,0,6.0,1,7.1250025,B,Não,5.0,Ágata,2,9.16668,5.625,5.652169521654815,7.96875,16.0,1.0,5,6.644810737664296,F,0,2022,608.0,36.0,8.0
ALUNO-88,9.5,0.0,1,2.0,1,9.58334,B,Sim,10.0,Topázio,4,10.00002,7.5,9.4,5.9375,11.0,1.0,2,9.04042,F,1,2020,44.0,12.0,4.0
ALUNO-88,7.4,-1.0,1,3.0,1,9.1,B,Sim,5.0,Ametista,3,9.5,6.3,9.6,8.1,12.0,1.0,2,8.096,F,0,2021,44.0,12.0,4.0
ALUNO-88,6.877777777777777,0.0,1,4.0,1,9.0833375,B,Sim,10.0,Topázio,4,9.58335,5.625,9.11793372319688,8.90625,13.0,1.0,3,8.427269800194932,F,1,2022,44.0,12.0,4.0
ALUNO-90,7.666666666666667,-1.0,0,1.0,0,7.5000025,R,Não,5.0,Ágata,2,8.33334,7.5,5.8,7.96875,14.0,0.0,3,7.073542833333333,M,0,2020,812.0,56.0,6.0
ALUNO-90,4.6,-1.0,0,2.0,0,7.0,R,Não,5.0,Ágata,2,7.1,7.5,5.0,7.2,15.0,0.0,4,5.994,M,0,2021,812.0,56.0,6.0
ALUNO-90,3.555555555555556,-1.0,0,3.0,0,6.888886666666665,R,Não,5.0,Quartzo,1,5.833320000000001,7.5,3.004807692307692,6.71875,16.0,0.0,5,5.195056982905983,M,0,2022,812.0,56.0,6.0
ALUNO-91,4.5,0.0,0,2.0,0,7.58333,B,Não,10.0,Ágata,2,9.000020000000001,6.875,6.4,5.625,10.0,1.0,2,6.846668,F,1,2020,350.0,51.0,7.0
ALUNO-91,2.2,0.0,0,3.0,0,2.5,B,Não,10.0,Quartzo,1,9.5,7.5,0.0,5.6,11.0,1.0,2,4.2,F,1,2021,350.0,51.0,7.0
ALUNO-91,7.916666666666667,-1.0,0,4.0,0,7.500003333333334,B,Não,5.0,Ametista,3,8.500020000000001,7.5,7.918575677196368,6.458333333333334,12.0,1.0,2,7.412884468772608,F,0,2022,350.0,51.0,7.0
ALUNO-92,5.416666666666666,-2.0,0,0.0,0,7.66666,R,Não,5.0,Ametista,3,9.50002,7.5,9.26450742240216,5.625,11.0,1.0,0,7.232068817813765,F,0,2022,416.0,123.0,3.0
ALUNO-97,6.0,-1.0,0,2.0,0,7.75,R,Não,5.0,Ametista,3,9.50002,7.5,8.0,8.4375,12.0,1.0,2,7.393752,F,0,2020,310.0,35.0,1.0
ALUNO-97,5.8,-1.0,0,3.0,0,6.0,R,Não,5.0,Ágata,2,8.0,7.5,5.8,7.5,13.0,1.0,2,6.317,F,0,2021,310.0,35.0,1.0
ALUNO-97,7.0,0.0,0,4.0,0,5.58333,R,Não,10.0,Ametista,3,7.91667,7.5,8.467105263157894,7.5,14.0,1.0,3,7.501754052631579,F,1,2022,310.0,35.0,1.0
ALUNO-98,6.3,-1.0,0,0.0,0,7.5,R,Não,5.0,Ametista,3,9.2,7.5,6.4,7.5,14.0,1.0,3,6.953,F,0,2021,363.0,42.0,2.0
