nome,ano,anos_pm,bolsista_encoded,cg,diff_fase,iaa,ian,ida,idade,ieg,inde,ipp,ips,ipv,na_fase,ponto_virada_encoded,sexo_encoded
ALUNO-104,2022,1.0,0,52.0,0.0,10.00002,10.0,7.25,8.0,9.392712550607287,8.357710510121457,5.625,7.5,8.58333,1,1,0.0
ALUNO-107,2022,0.0,0,728.0,-2.0,7.91668,5.0,4.0,11.0,4.952380952380953,6.01131119047619,5.625,7.5,8.083335,0,0,1.0
ALUNO-108,2022,0.0,0,256.0,-1.0,9.000020000000001,5.0,8.416666666666668,9.0,8.565610859728508,7.642290505279036,5.625,7.5,7.666665,0,0,1.0
ALUNO-110,2022,0.0,0,345.0,0.0,10.00002,10.0,5.5,8.0,6.590752242926156,7.426485448585232,5.625,8.125,8.166665,1,0,0.0
ALUNO-113,2020,1.0,0,659.0,-1.0,8.500020000000001,5.0,7.5,11.0,8.8,7.693335000000001,7.5,7.5,7.916665,0,0,1.0
ALUNO-113,2021,2.0,0,659.0,-1.0,9.5,5.0,4.6,12.0,7.1,6.664,8.1,7.5,6.6,0,0,1.0
ALUNO-113,2022,3.0,0,659.0,0.0,9.16668,10.0,5.166666666666666,13.0,6.253787878787879,6.40909040909091,5.625,5.625,5.4166575,1,0,1.0
ALUNO-114,2022,0.0,0,318.0,-1.0,9.50002,5.0,8.766666666666666,9.0,7.748129063918538,7.484211146117041,5.3125,7.5,7.25,0,0,0.0
ALUNO-116,2022,0.0,0,163.0,0.0,10.00002,10.0,5.75,11.0,9.333333333333332,7.913890666666667,6.25,7.5,7.61111,1,0,0.0
ALUNO-118,2020,1.0,0,57.0,0.0,8.500020000000001,10.0,10.0,8.0,7.7,8.342085,7.1875,7.5,7.416665,1,0,1.0
ALUNO-118,2021,2.0,0,57.0,0.0,8.5,10.0,6.9,9.0,9.6,8.299,7.5,7.5,8.2,1,0,1.0
ALUNO-118,2022,3.0,0,57.0,-1.0,10.00002,5.0,9.416666666666668,10.0,8.38888888888889,8.334031111111113,6.5625,7.5,9.33334,0,1,1.0
ALUNO-119,2022,0.0,0,76.0,0.0,9.16668,10.0,8.888888888888888,13.0,8.635443503864556,8.230908478550688,7.34375,6.25,7.249995,1,0,1.0
ALUNO-121,2022,0.0,0,696.0,-1.0,8.000020000000001,5.0,2.5,13.0,8.466810966810968,6.244752193362194,6.458333333333334,7.5,6.777773333333332,0,0,1.0
ALUNO-122,2022,0.0,0,67.0,0.0,9.000020000000001,10.0,8.0,9.0,10.0,8.265278666666667,6.041666666666667,7.5,7.055549999999999,1,0,1.0
ALUNO-123,2022,0.0,0,265.0,0.0,9.50002,10.0,6.0,11.0,6.818181818181817,7.619194363636365,6.666666666666666,7.5,8.444446666666668,1,1,1.0
ALUNO-124,2021,0.0,0,424.0,0.0,9.0,10.0,6.1,8.0,8.3,8.275,8.1,7.5,9.7,1,1,0.0
ALUNO-124,2022,1.0,0,424.0,0.0,9.000020000000001,10.0,5.166666666666667,9.0,8.033910533910534,7.209561440115441,5.416666666666667,7.5,6.888886666666665,1,0,0.0
ALUNO-126,2021,0.0,0,421.0,-1.0,9.0,5.0,4.5,9.0,4.2,6.069,7.2,7.5,7.3,0,0,1.0
ALUNO-126,2022,1.0,0,421.0,-2.0,9.000020000000001,5.0,7.333333333333333,11.0,8.468286099865047,7.216575886639676,4.0625,7.5,7.5,0,0,1.0
ALUNO-127,2021,0.0,0,532.0,-1.0,10.0,5.0,5.6,11.0,7.1,6.907,7.5,7.5,6.9,0,0,1.0
ALUNO-127,2022,1.0,0,532.0,-1.0,10.00002,5.0,5.5,11.0,7.932900432900433,6.865748086580086,5.625,7.5,6.833329999999998,0,0,1.0
ALUNO-128,2020,1.0,0,485.0,-1.0,7.416679999999999,5.0,5.5,9.0,10.0,5.854169000000001,2.5,5.625,3.500005,0,0,1.0
ALUNO-128,2021,2.0,0,485.0,-2.0,7.9,5.0,4.0,10.0,6.7,5.229,2.5,4.4,5.6,0,0,1.0
ALUNO-128,2022,3.0,0,485.0,-2.0,9.000020000000001,5.0,6.083333333333333,11.0,9.45887445887446,7.00427655844156,5.0,5.625,7.166665,0,0,1.0
ALUNO-129,2021,0.0,0,428.0,0.0,7.4,10.0,4.6,11.0,4.2,5.819,7.2,7.5,4.3,1,0,1.0
ALUNO-129,2022,1.0,0,428.0,-1.0,9.000020000000001,5.0,8.083333333333332,13.0,6.793942772203643,7.203235887774063,6.875,5.625,7.888893333333335,0,0,1.0
ALUNO-130,2022,0.0,0,72.0,0.0,9.50002,10.0,9.266666666666666,8.0,7.489177489177488,8.259504831168831,5.625,8.125,7.91667,1,0,1.0
ALUNO-131,2022,0.0,0,347.0,0.0,7.91667,10.0,6.75,13.0,8.75,7.423958,7.03125,4.375,6.95833,1,0,1.0
