nome,idade,anos_pm,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,sexo,corraca,fase,bolsista_encoded,ponto_virada_encoded,pedra_encoded,destaque_ieg_resultado,destaque_ida_resultado,destaque_ipv_resultado,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded
ALUNO-546,18.0,2,4.928614333333334,Quartzo,8.33335,5.4,3.125,4.666666666666667,5.416666666666667,4.888896666666667,2.5,M,R,5,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-547,14.0,2,7.275557333333333,Ágata,8.33334,6.6,5,6,8.333333333333332,7.944450000000002,10,F,R,4,0,0,2,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-549,13.0,3,4.5827085,Quartzo,7.50001,1.7,4.375,0,7.96875,6.2916625,10,M,R,3,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-552,12.0,1,5.7302773333333334,Quartzo,0,8.7,6.875,3,7.916666666666668,7.055553333333332,5,F,R,2,0,0,1,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-555,10.0,1,7.816668666666667,Ametista,8.500020000000001,9.5,7.5,7.5,7.5,7.833333333333333,5,F,B,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-557,12.0,2,7.702085,Ametista,9.500020000000001,8.5,6.25,7.5,8.4375,7.916665,5,M,P,2,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-559,12.0,1,5.866251,Quartzo,8.500020000000001,4.3,7.5,4,6.5625,7.249995,5,M,B,2,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-560,10.0,1,6.8558346666666665,Ágata,8.91668,5.3,7.5,7.5,6.875,7.333333333333333,5,M,R,1,0,0,2,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-561,13.0,1,6.0124986666666675,Quartzo,7.5,5.5,7.5,1.1666666666666667,8.125,6.833326666666666,10,F,B,3,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-562,9.0,1,8.356669333333334,Ametista,8.000020000000001,9.7,7.5,6.25,9.166666666666666,8.500003333333334,10,M,B,2,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-564,13.0,1,7.288543499999999,Ametista,9.58335,4,5,9,7.96875,7.1666675,10,M,R,3,0,0,3,Negativo,Positivo,Positivo,-1,1,1
ALUNO-568,15.0,3,7.724721333333334,Ametista,8.33334,9.7,7.5,7.333333333333333,8.125,7.111103333333333,5,F,B,3,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-569,8.0,0,9.233336,Topázio,9.500020000000001,10,7.5,10,7.5,8.91667,10,M,B,0,0,1,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-570,11.0,1,7.682224000000001,Ametista,9.000020000000001,6.3,7.5,10,7.5,7.61111,5,M,R,1,0,0,3,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-574,16.0,1,7.638334333333334,Ametista,9.58335,8.4,6.875,7.666666666666667,8.125,7.33333,5,M,R,5,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-577,10.0,1,5.295835333333334,Quartzo,7.50002,5,7.5,0,7.291666666666667,7.833333333333333,5,M,R,1,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-579,10.0,3,7.841669,Ametista,9.000020000000001,8.5,6.25,6.5,5,9.083335,10,F,B,2,0,1,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-581,16.0,2,4.741112333333334,Quartzo,8.75001,1.9,7.5,0,7.916666666666668,7.222223333333334,5,F,R,4,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-583,14.0,1,7.424375833333333,Ametista,7.08334,6.2,6.875,7.666666666666667,7.96875,7.2916675,10,F,R,4,0,0,3,Negativo,Positivo,Positivo,-1,1,1
ALUNO-585,15.0,2,6.519446,Ágata,9.000020000000001,8,4.375,6,5.208333333333333,8.055553333333332,2.5,F,B,1,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-586,10.0,0,7.982502,Ametista,8.500020000000001,8.1,7.5,10,7.291666666666667,7.666666666666666,5,F,B,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-588,8.0,1,8.664586,Topázio,10.000020000000001,10,7.5,7.5,7.8125,8.16667,10,F,B,0,0,0,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-589,11.0,1,7.393334666666667,Ametista,8.41668,8.3,7.5,8,5.416666666666666,7.5,5,M,P,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-594,11.0,0,7.965557333333334,Ametista,9.000020000000001,8.8,6.875,9,7.291666666666667,7.944443333333333,5,M,B,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-597,17.0,1,5.838957500000001,Quartzo,6.24999,3.7,5.625,5.5,5.78125,6.1666675,10,M,R,7,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-598,16.0,1,6.027084833333334,Quartzo,9.58335,7,7.5,1.6666666666666667,7.1875,6.8333325,5,F,B,4,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-601,16.0,1,5.283540833333333,Quartzo,0,5.1,6.875,2.6666666666666665,7.34375,6.5416625,10,M,B,6,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-602,11.0,1,6.1987499999999995,Ágata,3.4999800000000003,9.4,4.375,8,7.8125,3.2500099999999996,5,F,B,0,0,0,2,Positivo,Positivo,Negativo,1,1,-1
ALUNO-603,13.0,2,6.068611666666667,Quartzo,6.33335,8.1,5,3,6.041666666666667,8.05555,5,M,B,1,0,0,1,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-604,17.0,2,8.470210166666668,Ametista,8.75001,9.7,7.5,7.333333333333333,7.96875,8.208337499999999,10,F,R,7,1,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-605,13.0,3,7.342223333333333,Ametista,9.000020000000001,7.1,7.5,8,7.5,7.111106666666665,5,M,B,2,0,0,3,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-606,17.0,2,7.556458833333334,Ametista,9.16668,9.6,6.25,6.666666666666667,7.03125,7.7916625,5,F,R,5,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-608,14.0,3,7.580834333333334,Ametista,7.91667,6.3,6.875,7,8.749999999999998,7.833336666666668,10,M,B,4,0,0,3,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-611,17.0,4,7.457292333333335,Ametista,9.16668,8.5,5.625,5.666666666666667,7.03125,7.20833,10,F,B,7,1,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-613,11.0,2,6.560557333333334,Ágata,9.500020000000001,8.4,5,4,5.416666666666666,7.944443333333333,5,F,B,1,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-614,16.0,2,5.504166166666667,Quartzo,0,3,6.875,5.333333333333333,7.5,6.9999975,10,F,B,6,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-615,8.0,1,9.616671,Topázio,9.000020000000001,10,7.5,10,10,9.833345,10,F,B,0,0,1,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-616,18.0,1,7.748336,Ametista,10.000020000000001,8.7,7.5,6,8.75,8.41667,5,M,R,7,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-618,16.0,3,4.515278666666667,Quartzo,9.500020000000001,4,4.375,0,6.666666666666666,7.055549999999999,2.5,M,R,2,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-619,10.0,1,7.741390666666668,Ametista,9.000020000000001,9.7,7.5,4.5,7.291666666666667,7.61111,10,F,P,2,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-622,12.0,2,6.487222666666668,Ágata,10.000020000000001,4.2,7.5,5.333333333333333,7.083333333333334,5.611103333333335,10,F,B,3,0,0,2,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-624,15.0,1,5.227220000000001,Quartzo,7.5,3.4,2.5,6.666666666666667,6.249999999999999,5.444433333333334,5,F,B,3,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-625,12.0,1,5.785002,Quartzo,8.500020000000001,7.3,6.25,0,7.5,8,5,M,R,1,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-626,13.0,3,7.048958833333334,Ágata,7.91667,6,7.5,5.666666666666667,7.65625,7.0416675,10,F,R,3,0,0,2,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-631,12.0,2,6.277778666666666,Ágata,9.500020000000001,8.5,3.125,3.5,6.041666666666667,7.555549999999998,5,F,B,2,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-634,12.0,2,6.1470839999999995,Ágata,6.9166799999999995,7.1,4.375,7.5,2.8125,6.58333,5,M,B,1,1,0,2,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-635,15.0,3,6.004582666666666,Quartzo,6.25001,6.7,4.375,4.333333333333333,7.1875,5.083325,10,M,B,5,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-636,16.0,1,5.708056666666667,Quartzo,7.08334,3.7,7.5,6,6.875,5.611113333333333,5,M,R,5,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
